GEPARALLELUPS-MIB::upsAlarmEntry         1.3.6.1.4.1.818.1.1.10.6.2.1
GEPARALLELUPS-MIB::upsAlarmId            1.3.6.1.4.1.818.1.1.10.6.2.1.1
GEPARALLELUPS-MIB::upsAlarmDescr         1.3.6.1.4.1.818.1.1.10.6.2.1.2
GEPARALLELUPS-MIB::upsAlarmTime          1.3.6.1.4.1.818.1.1.10.6.2.1.3
GEPARALLELUPS-MIB::upsWellKnownAlarms    1.3.6.1.4.1.818.1.1.10.6.3
GEPARALLELUPS-MIB::upsAlarmBatteryBad    1.3.6.1.4.1.818.1.1.10.6.3.1
GEPARALLELUPS-MIB::upsAlarmOnBattery     1.3.6.1.4.1.818.1.1.10.6.3.2
GEPARALLELUPS-MIB::upsAlarmLowBattery    1.3.6.1.4.1.818.1.1.10.6.3.3
GEPARALLELUPS-MIB::upsAlarmDepletedBattery 1.3.6.1.4.1.818.1.1.10.6.3.4
GEPARALLELUPS-MIB::upsAlarmTempBad       1.3.6.1.4.1.818.1.1.10.6.3.5
GEPARALLELUPS-MIB::upsAlarmInputBad      1.3.6.1.4.1.818.1.1.10.6.3.6
GEPARALLELUPS-MIB::upsAlarmOutputBad     1.3.6.1.4.1.818.1.1.10.6.3.7
GEPARALLELUPS-MIB::upsAlarmOutputOverload 1.3.6.1.4.1.818.1.1.10.6.3.8
GEPARALLELUPS-MIB::upsAlarmOnBypass      1.3.6.1.4.1.818.1.1.10.6.3.9
GEPARALLELUPS-MIB::upsAlarmBypassBad     1.3.6.1.4.1.818.1.1.10.6.3.10
GEPARALLELUPS-MIB::upsAlarmOutputOffAsRequested 1.3.6.1.4.1.818.1.1.10.6.3.11
GEPARALLELUPS-MIB::upsAlarmUpsOffAsRequested 1.3.6.1.4.1.818.1.1.10.6.3.12
GEPARALLELUPS-MIB::upsAlarmChargerFailed 1.3.6.1.4.1.818.1.1.10.6.3.13
GEPARALLELUPS-MIB::upsAlarmUpsOutputOff  1.3.6.1.4.1.818.1.1.10.6.3.14
GEPARALLELUPS-MIB::upsAlarmUpsSystemOff  1.3.6.1.4.1.818.1.1.10.6.3.15
GEPARALLELUPS-MIB::upsAlarmFanFailure    1.3.6.1.4.1.818.1.1.10.6.3.16
GEPARALLELUPS-MIB::upsAlarmFuseFailure   1.3.6.1.4.1.818.1.1.10.6.3.17
GEPARALLELUPS-MIB::upsAlarmGeneralFault  1.3.6.1.4.1.818.1.1.10.6.3.18
GEPARALLELUPS-MIB::upsAlarmDiagnosticTestFailed 1.3.6.1.4.1.818.1.1.10.6.3.19
GEPARALLELUPS-MIB::upsAlarmCommunicationsLost 1.3.6.1.4.1.818.1.1.10.6.3.20
GEPARALLELUPS-MIB::upsAlarmAwaitingPower 1.3.6.1.4.1.818.1.1.10.6.3.21
GEPARALLELUPS-MIB::upsAlarmShutdownPending 1.3.6.1.4.1.818.1.1.10.6.3.22
GEPARALLELUPS-MIB::upsAlarmShutdownImminent 1.3.6.1.4.1.818.1.1.10.6.3.23
GEPARALLELUPS-MIB::upsAlarmTestInProgress 1.3.6.1.4.1.818.1.1.10.6.3.24
GEPARALLELUPS-MIB::upsAlarmReceptacleOff 1.3.6.1.4.1.818.1.1.10.6.3.25
GEPARALLELUPS-MIB::upsAlarmHighSpeedBusFailure 1.3.6.1.4.1.818.1.1.10.6.3.26
GEPARALLELUPS-MIB::upsAlarmHighSpeedBusJACRCFailure 1.3.6.1.4.1.818.1.1.10.6.3.27
GEPARALLELUPS-MIB::upsAlarmConnectivityBusFailure 1.3.6.1.4.1.818.1.1.10.6.3.28
GEPARALLELUPS-MIB::upsAlarmHighSpeedBusJBCRCFailure 1.3.6.1.4.1.818.1.1.10.6.3.29
GEPARALLELUPS-MIB::upsAlarmCurrentSharing 1.3.6.1.4.1.818.1.1.10.6.3.30
GEPARALLELUPS-MIB::upsAlarmDCRipple      1.3.6.1.4.1.818.1.1.10.6.3.31
GEPARALLELUPS-MIB::upsAlarmMaskA         1.3.6.1.4.1.818.1.1.10.6.4

GEPARALLELUPS-MIB::upsTest               1.3.6.1.4.1.818.1.1.10.7
GEPARALLELUPS-MIB::upsTestId             1.3.6.1.4.1.818.1.1.10.7.1
GEPARALLELUPS-MIB::upsTestSpinLock       1.3.6.1.4.1.818.1.1.10.7.2
GEPARALLELUPS-MIB::upsTestResultsSummary 1.3.6.1.4.1.818.1.1.10.7.3
GEPARALLELUPS-MIB::upsTestResultsDetail  1.3.6.1.4.1.818.1.1.10.7.4
GEPARALLELUPS-MIB::upsTestStartTime      1.3.6.1.4.1.818.1.1.10.7.5
GEPARALLELUPS-MIB::upsTestElapsedTime    1.3.6.1.4.1.818.1.1.10.7.6
GEPARALLELUPS-MIB::upsWellKnownTests     1.3.6.1.4.1.818.1.1.10.7.7
GEPARALLELUPS-MIB::upsTestNoTestsInitiated 1.3.6.1.4.1.818.1.1.10.7.7.1
GEPARALLELUPS-MIB::upsTestAbortTestInProgress 1.3.6.1.4.1.818.1.1.10.7.7.2
GEPARALLELUPS-MIB::upsTestGeneralSystemsTest 1.3.6.1.4.1.818.1.1.10.7.7.3
GEPARALLELUPS-MIB::upsTestQuickBatteryTest 1.3.6.1.4.1.818.1.1.10.7.7.4
GEPARALLELUPS-MIB::upsTestDeepBatteryCalibration 1.3.6.1.4.1.818.1.1.10.7.7.5

GEPARALLELUPS-MIB::upsControl            1.3.6.1.4.1.818.1.1.10.8
GEPARALLELUPS-MIB::upsShutdownType       1.3.6.1.4.1.818.1.1.10.8.1
GEPARALLELUPS-MIB::upsShutdownAfterDelay 1.3.6.1.4.1.818.1.1.10.8.2
GEPARALLELUPS-MIB::upsStartupAfterDelay  1.3.6.1.4.1.818.1.1.10.8.3
GEPARALLELUPS-MIB::upsRebootWithDuration 1.3.6.1.4.1.818.1.1.10.8.4
GEPARALLELUPS-MIB::upsAutoRestart        1.3.6.1.4.1.818.1.1.10.8.5
GEPARALLELUPS-MIB::upsReceptaclesNum     1.3.6.1.4.1.818.1.1.10.8.6
GEPARALLELUPS-MIB::upsReceptacleTable    1.3.6.1.4.1.818.1.1.10.8.7
GEPARALLELUPS-MIB::upsReceptacleEntry    1.3.6.1.4.1.818.1.1.10.8.7.1
GEPARALLELUPS-MIB::upsReceptacleLineIndex 1.3.6.1.4.1.818.1.1.10.8.7.1.1
GEPARALLELUPS-MIB::upsReceptacleOnOff    1.3.6.1.4.1.818.1.1.10.8.7.1.2
GEPARALLELUPS-MIB::upsUPSMode            1.3.6.1.4.1.818.1.1.10.8.8
GEPARALLELUPS-MIB::upsRectifierOnOff     1.3.6.1.4.1.818.1.1.10.8.9
GEPARALLELUPS-MIB::upsBatteryChargeMethod 1.3.6.1.4.1.818.1.1.10.8.10
GEPARALLELUPS-MIB::upsInverterOnOff      1.3.6.1.4.1.818.1.1.10.8.11
GEPARALLELUPS-MIB::upsBypassOnOff        1.3.6.1.4.1.818.1.1.10.8.12
GEPARALLELUPS-MIB::upsLoadSource         1.3.6.1.4.1.818.1.1.10.8.13
GEPARALLELUPS-MIB::upsConfig             1.3.6.1.4.1.818.1.1.10.9
GEPARALLELUPS-MIB::upsConfigInputVoltage 1.3.6.1.4.1.818.1.1.10.9.1
GEPARALLELUPS-MIB::upsConfigInputFreq    1.3.6.1.4.1.818.1.1.10.9.2
GEPARALLELUPS-MIB::upsConfigOutputVoltage 1.3.6.1.4.1.818.1.1.10.9.3
GEPARALLELUPS-MIB::upsConfigOutputFreq   1.3.6.1.4.1.818.1.1.10.9.4
GEPARALLELUPS-MIB::upsConfigOutputVA     1.3.6.1.4.1.818.1.1.10.9.5
GEPARALLELUPS-MIB::upsConfigOutputPower  1.3.6.1.4.1.818.1.1.10.9.6
GEPARALLELUPS-MIB::upsConfigLowBattTime  1.3.6.1.4.1.818.1.1.10.9.7
GEPARALLELUPS-MIB::upsConfigAudibleStatus 1.3.6.1.4.1.818.1.1.10.9.8
GEPARALLELUPS-MIB::upsConfigLowVoltageTransferPoint 1.3.6.1.4.1.818.1.1.10.9.9
GEPARALLELUPS-MIB::upsConfigHighVoltageTransferPoint 1.3.6.1.4.1.818.1.1.10.9.10
GEPARALLELUPS-MIB::upsConfigBatteryCapacity 1.3.6.1.4.1.818.1.1.10.9.11
GEPARALLELUPS-MIB::upsConfigBatteryChargeCurrent 1.3.6.1.4.1.818.1.1.10.9.12
GEPARALLELUPS-MIB::upsConfigNoLoadShutdown 1.3.6.1.4.1.818.1.1.10.9.13
GEPARALLELUPS-MIB::upsConfigStartDelay   1.3.6.1.4.1.818.1.1.10.9.14

GEPARALLELUPS-MIB::upsGetSet             1.3.6.1.4.1.818.1.1.10.10
GEPARALLELUPS-MIB::upsEventGetNext       1.3.6.1.4.1.818.1.1.10.10.1
GEPARALLELUPS-MIB::upsEventGetPrevious   1.3.6.1.4.1.818.1.1.10.10.2
GEPARALLELUPS-MIB::upsEventSetStartingTimeStamp 1.3.6.1.4.1.818.1.1.10.10.3
GEPARALLELUPS-MIB::upsEventRetreiveCurrentTimeStamp 1.3.6.1.4.1.818.1.1.10.10.4
GEPARALLELUPS-MIB::upsEventTableSize     1.3.6.1.4.1.818.1.1.10.10.5
GEPARALLELUPS-MIB::upsEventTable         1.3.6.1.4.1.818.1.1.10.10.6
GEPARALLELUPS-MIB::upsEventEntry         1.3.6.1.4.1.818.1.1.10.10.6.1
GEPARALLELUPS-MIB::upsEventLineIndex     1.3.6.1.4.1.818.1.1.10.10.6.1.1
GEPARALLELUPS-MIB::upsEventCode          1.3.6.1.4.1.818.1.1.10.10.6.1.2
GEPARALLELUPS-MIB::upsEventStatus        1.3.6.1.4.1.818.1.1.10.10.6.1.3
GEPARALLELUPS-MIB::upsEventTime          1.3.6.1.4.1.818.1.1.10.10.6.1.4

GEPARALLELUPS-MIB::upsParametersRead     1.3.6.1.4.1.818.1.1.10.10.7
GEPARALLELUPS-MIB::upsParametersWrite    1.3.6.1.4.1.818.1.1.10.10.8
GEPARALLELUPS-MIB::upsParametersStartAddress 1.3.6.1.4.1.818.1.1.10.10.9
GEPARALLELUPS-MIB::upsParameterTableSize 1.3.6.1.4.1.818.1.1.10.10.10
GEPARALLELUPS-MIB::upsParameterTable     1.3.6.1.4.1.818.1.1.10.10.11
GEPARALLELUPS-MIB::upsParameterEntry     1.3.6.1.4.1.818.1.1.10.10.11.1
GEPARALLELUPS-MIB::upsParameterLineIndex 1.3.6.1.4.1.818.1.1.10.10.11.1.1
GEPARALLELUPS-MIB::upsParameterValue     1.3.6.1.4.1.818.1.1.10.10.11.1.2

GEPARALLELUPS-MIB::upsStatus             1.3.6.1.4.1.818.1.1.10.10.12
GEPARALLELUPS-MIB::upsMainsStatisticsMBfail 1.3.6.1.4.1.818.1.1.10.10.13
GEPARALLELUPS-MIB::upsMainsStatisticsMRfail 1.3.6.1.4.1.818.1.1.10.10.14
GEPARALLELUPS-MIB::upsMainsStatisticsB2  1.3.6.1.4.1.818.1.1.10.10.15
GEPARALLELUPS-MIB::upsMainsStatisticsB5  1.3.6.1.4.1.818.1.1.10.10.16
GEPARALLELUPS-MIB::upsMainsStatisticsB10 1.3.6.1.4.1.818.1.1.10.10.17
GEPARALLELUPS-MIB::upsMainsStatisticsB200 1.3.6.1.4.1.818.1.1.10.10.18
GEPARALLELUPS-MIB::upsMainsStatisticsBypRel 1.3.6.1.4.1.818.1.1.10.10.19
GEPARALLELUPS-MIB::upsTimegen            1.3.6.1.4.1.818.1.1.10.10.20
GEPARALLELUPS-MIB::upsRequestPermission  1.3.6.1.4.1.818.1.1.10.10.21
GEPARALLELUPS-MIB::upsEventGetCode       1.3.6.1.4.1.818.1.1.10.10.22
GEPARALLELUPS-MIB::upsEventSpinLock      1.3.6.1.4.1.818.1.1.10.10.23
GEPARALLELUPS-MIB::upsParameterSpinLock  1.3.6.1.4.1.818.1.1.10.10.24

GEPARALLELUPS-MIB::geUPSTraps            1.3.6.1.4.1.818.1.1.10.11
GEPARALLELUPS-MIB::upsTrapAlarmBatteryBad 1.3.6.1.4.1.818.1.1.10.11.1
GEPARALLELUPS-MIB::upsTrapAlarmOnBattery 1.3.6.1.4.1.818.1.1.10.11.2
GEPARALLELUPS-MIB::upsTrapAlarmLowBattery 1.3.6.1.4.1.818.1.1.10.11.3
GEPARALLELUPS-MIB::upsTrapAlarmDepletedBattery 1.3.6.1.4.1.818.1.1.10.11.4
GEPARALLELUPS-MIB::upsTrapAlarmTempBad   1.3.6.1.4.1.818.1.1.10.11.5
GEPARALLELUPS-MIB::upsTrapAlarmInputBad  1.3.6.1.4.1.818.1.1.10.11.6
GEPARALLELUPS-MIB::upsTrapAlarmOutputBad 1.3.6.1.4.1.818.1.1.10.11.7
GEPARALLELUPS-MIB::upsTrapAlarmOutputOverload 1.3.6.1.4.1.818.1.1.10.11.8
GEPARALLELUPS-MIB::upsTrapAlarmOnBypass  1.3.6.1.4.1.818.1.1.10.11.9
GEPARALLELUPS-MIB::upsTrapAlarmBypassBad 1.3.6.1.4.1.818.1.1.10.11.10
GEPARALLELUPS-MIB::upsTrapAlarmOutputOffAsRequested 1.3.6.1.4.1.818.1.1.10.11.11
GEPARALLELUPS-MIB::upsTrapAlarmUpsOffAsRequested 1.3.6.1.4.1.818.1.1.10.11.12
GEPARALLELUPS-MIB::upsTrapAlarmChargerFailed 1.3.6.1.4.1.818.1.1.10.11.13
GEPARALLELUPS-MIB::upsTrapAlarmUpsOutputOff 1.3.6.1.4.1.818.1.1.10.11.14
